id,State_Code,State_Name,City,Zip_Code,ALand,AWater,Mean
1011000,1,Alabama,Chickasaw,36611,10894952,909156,38773
1011010,1,Alabama,Louisville,36048,26070325,23254,37725
1011020,1,Alabama,Columbiana,35051,44835274,261034,54606
1011030,1,Alabama,Satsuma,36572,36878729,2374530,63919
1011040,1,Alabama,Dauphin Island,36528,16204185,413605152,77948
1011050,1,Alabama,Cullman,35057,8913021,26837,50715
1011060,1,Alabama,East Brewton,36426,8826252,91015,33737
1011070,1,Alabama,Coosada,36020,10222339,176500,46319
1011080,1,Alabama,Eva,35621,10544874,78981,57994
1011090,1,Alabama,Sylacauga,35151,45178321,6034534,54807
1011100,1,Alabama,Rainsville,35986,145527967,924063,47929
1011110,1,Alabama,Gadsden,35901,96637272,3060329,42251
1011120,1,Alabama,Georgiana,36033,16154540,0,27993
1011130,1,Alabama,Rockford,35136,16819854,75870,31229
1011140,1,Alabama,Greensboro,36744,6156793,24951,36439
1011150,1,Alabama,Guin,35563,5028328,0,56934
1011160,1,Alabama,Hartford,36344,16152099,37439,41057
1011170,1,Alabama,Helena,35080,53950336,833954,93682
1011180,1,Alabama,Hokes Bluff,35903,30893300,423908,57202
1011190,1,Alabama,Opp,36467,6618368,135412,49699
1011200,1,Alabama,Attalla,35954,19297932,0,51926
1011210,1,Alabama,Millport,35576,7948840,0,44572
1011220,1,Alabama,Section,35771,12755795,8595968,56029
1011230,1,Alabama,Andalusia,36420,1347464,7932,51098
1011240,1,Alabama,Lockhart,36455,2818242,103127,45465
1011250,1,Alabama,Mcintosh,36553,2579767,0,67392
1011260,1,Alabama,Maplesville,36750,8463711,104846,43767
1011270,1,Alabama,Fairfield,35064,6869817,0,48074
1011280,1,Alabama,Mobile,36606,361044263,105325210,53330
1011290,1,Alabama,Moulton,35650,15525177,37270,42079
1011300,1,Alabama,Muscle Shoals,35661,42811752,53102,60729
1011310,1,Alabama,Newbern,36765,3010370,6872,32466
1011320,1,Alabama,Northport,35476,43353277,1016012,62410
1011330,1,Alabama,Opelika,36801,154497144,2388300,55199
1011340,1,Alabama,Panola,35477,1858530,3231,22603
1011350,1,Alabama,Ozark,36867,72497364,325619,86605
1011360,1,Alabama,Deatsville,36022,64250372,132799,63066
1011370,1,Alabama,Prattville,36067,86435482,2322045,53597
1011380,1,Alabama,Red Bay,35582,25224456,268155,39220
1011390,1,Alabama,Andalusia,36421,17703764,675339,39218
1011400,1,Alabama,Cleveland,35049,9758714,14775,55127
1011410,1,Alabama,Satsuma,36572,73566058,497598,59567
1011420,1,Alabama,Shelby,35143,48586750,657199,63758
1011430,1,Alabama,Smiths Station,36877,17386667,69041,57098
1011440,1,Alabama,Phil Campbell,35581,2403095,2825,72297
1011450,1,Alabama,Sumiton,35148,13529257,19710,51907
1011460,1,Alabama,Tallassee,36078,27817447,1526561,55849
1011470,1,Alabama,Mobile,36619,33596548,99955,55230
1011480,1,Alabama,Tuscaloosa,35406,159585773,26058465,55815
1011490,1,Alabama,Valley,36854,28436022,0,49554
1011500,1,Alabama,Vincent,35178,53311740,978770,0
1011510,1,Alabama,Camp Hill,36850,7054656,48649,71026
1011520,1,Alabama,Cullman,35057,8833073,70375,58314
1011530,1,Alabama,Woodland,36280,4036422,0,48217
101901,1,Alabama,Wadley,36276,7764034,34284,14741
101910,1,Alabama,Aliceville,35442,11819855,0,28347
101920,1,Alabama,Odenville,35120,27893577,150331,242857
101930,1,Alabama,Auburn,36830,152375113,2646161,59694
101940,1,Alabama,Bayou La Batre,36509,19400655,368667,50047
101950,1,Alabama,Bessemer,35022,104798633,439841,41239
101960,1,Alabama,Boligee,35443,10231296,36323,32777
101970,1,Alabama,Brilliant,35548,27687370,0,33353
101980,1,Alabama,Calera,35040,62376107,685210,65576
101990,1,Alabama,Carrollton,35447,5331435,59271,41709
1021006,1,Alabama,Moody,35004,110354665,589709,45862
1021016,1,Alabama,Odenville,35120,145753222,539155,62222
1021026,1,Alabama,Hoover,35242,10526469,723081,90262
1021036,1,Alabama,Birmingham,35242,7151912,58061,92018
1021046,1,Alabama,Chelsea,35043,16899453,292332,78399
1021056,1,Alabama,Maylene,35114,8011090,34567,85122
102106,1,Alabama,Ohatchee,36271,177682000,7624905,66000
1021066,1,Alabama,Panola,35477,536090556,10788078,34064
1021076,1,Alabama,Talladega,35160,10137995,8419,38882
1021086,1,Alabama,Sylacauga,35150,83495162,1251432,40948
1021096,1,Alabama,Dadeville,36853,311017327,1997552,48421
1021106,1,Alabama,Northport,35475,32625607,5489082,77977
1021116,1,Alabama,Holt,35404,9071936,478045,37965
1021126,1,Alabama,Tuscaloosa,35401,1160279,0,24931
1021136,1,Alabama,Tuscaloosa,35404,12325885,108719,60252
1021146,1,Alabama,Holt,35404,6641779,189874,53301
1021156,1,Alabama,Nauvoo,35578,153528165,704066,40072
102116,1,Alabama,Lanett,36863,6948352,0,35951
1021166,1,Alabama,Millry,36558,398488735,659562,48623
1021176,1,Alabama,Arley,35541,145680961,17493922,49046
1021186,1,Alabama,Prattville,36067,5349273,9054,58180
1021196,1,Alabama,Elmore,36025,8020338,60048,41464
1021206,1,Alabama,Marbury,36051,292756927,516153,59061
1021216,1,Alabama,Perdido,36562,971507312,37571032,55216
1021226,1,Alabama,Bay Minette,36507,17478851,155316,36474
1021236,1,Alabama,Daphne,36526,144260774,676568,107603
1021246,1,Alabama,Loxley,36551,55584945,274609,50583
1021256,1,Alabama,Robertsdale,36567,39371387,185367,69996
102126,1,Alabama,Clanton,35045,64410623,251385,56638
1021266,1,Alabama,Fairhope,36532,12365598,1268983,67864
1021276,1,Alabama,Foley,36535,164751029,12027152,71445
1021286,1,Alabama,Gulf Shores,36547,34146324,8917573,65583
1021296,1,Alabama,Foley,36535,51913165,450591,49212
1021306,1,Alabama,Pensacola,32506,81473914,35304223,57395
1021316,1,Alabama,Clayton,36016,343304919,397957,56947
1021326,1,Alabama,Eufaula,36027,14630161,380622,43222
1021336,1,Alabama,Brent,35034,691793540,3983687,67555
1021346,1,Alabama,Oneonta,35121,215168178,7529147,34855
1021356,1,Alabama,Cleveland,35049,117119604,607001,56385
102136,1,Alabama,Gilbertown,36908,578537985,1836706,53998
1021366,1,Alabama,Blountsville,35031,248719996,1503784,47717
1021376,1,Alabama,Hayden,35079,181928636,1231658,58684
1021386,1,Alabama,Union Springs,36089,786335890,3475241,30765
1021396,1,Alabama,Greenville,36037,32192358,313969,30564
1021406,1,Alabama,Mckenzie,36456,264349344,236297,36333
1021416,1,Alabama,Anniston,36201,6794602,649,27581
1021426,1,Alabama,Anniston,36207,16676645,14186,55336
1021436,1,Alabama,Oxford,36203,23519631,55597,54371
1021446,1,Alabama,Anniston,36201,54153086,275439,49509
1021456,1,Alabama,Jacksonville,36265,41129558,487657,46650
102146,1,Alabama,Jackson,36545,447191122,17991801,40352
1021466,1,Alabama,Jacksonville,36265,13690915,23910,33803
1021476,1,Alabama,Piedmont,36272,87901995,514251,35282
1021486,1,Alabama,Alexandria,36250,97226556,796761,72487
1021496,1,Alabama,Alexandria,36250,89660986,294151,0
1021506,1,Alabama,Lafayette,36862,675980103,2617356,45966
1021516,1,Alabama,Lanett,36863,132910142,178276,38000
1021526,1,Alabama,Valley,36854,9688028,0,44019
1021536,1,Alabama,Sand Rock,35983,233670765,33296082,57239
1021546,1,Alabama,Spring Garden,36275,373046666,29730687,51542
1021556,1,Alabama,Clanton,35045,64410623,251385,54388
102156,1,Alabama,Jack,36346,208213147,177901,47550
1021566,1,Alabama,Jemison,35085,244387804,1211895,40648
1021576,1,Alabama,Verbena,36091,256404827,4346403,67265
1021586,1,Alabama,Butler,36904,752526706,7297622,55952
1021596,1,Alabama,Thomasville,36784,249006278,71854,40451
10216,1,Alabama,Robertsdale,36567,737211648,3860933,64173
1021606,1,Alabama,Grove Hill,36451,832734330,4857552,50714
1021616,1,Alabama,Jackson,36545,107872399,2504038,40592
1021626,1,Alabama,Ashland,36251,383065566,777286,44628
1021636,1,Alabama,Heflin,36264,243823026,915596,31459
1021646,1,Alabama,Jack,36346,208213147,177901,51782
1021656,1,Alabama,Kinston,36453,128071075,606802,46792
102166,1,Alabama,Enterprise,36330,40693675,151495,88951
1021666,1,Alabama,Enterprise,36330,40693675,151495,61449
1021676,1,Alabama,Sheffield,35660,4408833,784132,51659
1021686,1,Alabama,Tuscumbia,35674,5259140,1044191,46357
1021696,1,Alabama,Muscle Shoals,35662,112842678,7290274,72532
1021706,1,Alabama,Leighton,35646,118959123,20802427,51460
1021716,1,Alabama,Tuscumbia,35674,259170483,7552968,44527
1021726,1,Alabama,Castleberry,36432,480256655,3016837,31633
1021736,1,Alabama,Rockford,35136,251376931,1562316,33042
1021746,1,Alabama,Andalusia,36421,359424460,10780680,53559
1021756,1,Alabama,Andalusia,36421,49938350,583714,58835
102176,1,Alabama,Muscle Shoals,35661,8140717,0,61868
1021766,1,Alabama,Opp,36467,154675236,2461722,46327
1021776,1,Alabama,Opp,36467,249816869,1830023,60141
1021786,1,Alabama,Luverne,36049,374196528,755161,40683
1021796,1,Alabama,Baileyton,35019,147196339,1148200,61900
1021806,1,Alabama,Vinemont,35179,89849348,1236612,53673
1021816,1,Alabama,Cullman,35055,70914526,477574,63213
1021826,1,Alabama,Cullman,35055,47570866,2530408,37893
1021836,1,Alabama,Cullman,35055,54256128,667061,44858
1021846,1,Alabama,Garden City,35070,125741724,1106561,43726
1021856,1,Alabama,Ft Rucker,36362,172610491,2735224,68310
102186,1,Alabama,Evergreen,36401,90973774,334237,34206
1021866,1,Alabama,Ozark,36360,61929515,413858,65625
1021876,1,Alabama,Ozark,36360,36136505,194310,31645
1021886,1,Alabama,Daleville,36322,23042778,0,58239
1021896,1,Alabama,Midland City,36350,110987657,53907,42703
1021906,1,Alabama,Selma,36703,182250003,1051254,65458
1021916,1,Alabama,Selma,36701,2711300,43964,23614
1021926,1,Alabama,Orrville,36767,541139544,6763758,30567
1021936,1,Alabama,Selma,36701,173119838,4647634,26582
1021946,1,Alabama,Rainsville,36986,108426406,467193,47226
1021956,1,Alabama,Fyffe,35971,214238075,23139,41338
102196,1,Alabama,Andalusia,36421,15438185,163537,42170
1021966,1,Alabama,Crossville,35962,151362799,244096,50821
1021976,1,Alabama,Ft Payne,35967,116782043,31876,46422
1021986,1,Alabama,Fort Payne,35967,91371430,86324,57662
1021996,1,Alabama,Deatsville,36022,280794165,9491833,55257
1022006,1,Alabama,Eclectic,36024,165330802,1570890,51818
1022016,1,Alabama,Wetumpka,36092,105723667,2997228,81059
1022026,1,Alabama,Millbrook,36054,23526031,97124,57221
1022036,1,Alabama,East Brewton,36426,944040122,9556480,42831
